service_id,hotel_id,name,price
1,1,"Завтрак ""шведский стол""",1500
2,1,SPA-комплекс (день),5000
3,1,Трансфер (аэропорт–отель),2000
4,2,Завтрак континентальный,1200
5,2,Прокат велосипедов,800
6,3,Экскурсия по городу,2500
7,4,Ужин в ресторане,3000
8,5,Парковка (сутки),1000
9,6,Фитнес-центр,500
10,7,Бизнес-ланч,1800
11,8,Детский клуб,700
12,9,Прачечная (1 кг),400
13,10,Wi-Fi Premium,300
14,12,Бар у бассейна,1500
15,15,Массаж (1 час),3500
16,18,Конференц-зал (час),2000
17,20,Сейф (сутки),200
18,22,Химчистка,600
19,25,Аренда авто,4500
20,30,Спа-процедуры,6000
